; SpeakRect name pack
; Drop .txt files in NamePacks\ next to SpeakRect.exe and import via
; Settings -> Speech -> Names -> Packs...
; Matching is always case-insensitive (X-Men, x-men, X-MEN all match).
; Format: Find | Say as
; Optional third field: Word (default) or Phrase
; Imported rules start ON and are listed A–Z by Find.
; Lines starting with ; or # are comments. Blank lines ignored.
; Say-as text has no hyphens (TTS would speak them as syllable breaks).

Id=x-men
Name=X-Men
Description=Phonetic codenames + real names (Silver Age through Krakoa / From the Ashes).
; Say-as style: keep natural English; only light respell / spaces when TTS mangles it (X- prefix, silent letters, hard names).

X-Treme X-Men | Ex Treem Ex Men
X-Tinction Agenda | Ex Tinction Agenda
X-Cutioner's Song | Ex Cutioner's Song
X-Cutioner | Ex Cutioner
X-Terminators | Ex Terminators
X-Ternals | Ex Ternals
X-Tinction | Ex Tinction
X-Sanity | Ex Sanity
X-Statix | Ex Statix
X-Treme | Ex Treem
X-Corporation | Ex Corporation
X-Corp | Ex Corp
X-Club | Ex Club
X-Force | Ex Force
X-Factor | Ex Factor
X-Men 2099 | Ex Men Twenty Ninety Nine
Uncanny X-Men | Uncanny Ex Men
Astonishing X-Men | Astonishing Ex Men
Extraordinary X-Men | Extraordinary Ex Men
Exceptional X-Men | Exceptional Ex Men
All-New X-Men | All New Ex Men
Ultimate X-Men | Ultimate Ex Men
New X-Men | New Ex Men
X-Men | Ex Men
X-Jet | Ex Jet
X-Wing | Ex Wing
X-Gene | Ex Gene
Xgene | Ex gene
X-23 | Ex Twenty Three
X23 | Ex Twenty Three
Generation X | Generation Ex
New Mutants | New Mutants
Brotherhood of Evil Mutants | Brotherhood of Evil Mutants
Brotherhood of Mutants | Brotherhood of Mutants
Hellfire Club | Hellfire Club
Hellfire Gala | Hellfire Gala
Quiet Council of Krakoa | Quiet Council of Kruh koa
Quiet Council | Quiet Council
Great Ring of Arakko | Great Ring of Uh racko
Swordbearers of Arakko | Swordbearers of Uh racko
Horsemen of Apocalypse | Horsemen of Apocalypse
Four Horsemen | Four Horsemen
Horseman of Death | Horseman of Death
Horseman of War | Horseman of War
Horseman of Famine | Horseman of Famine
Horseman of Pestilence | Horseman of Pestilence
Weapon X | Weapon Ex
Weapon Plus | Weapon Plus
Weapon Minus | Weapon Minus
Alpha Flight | Alpha Flight
Beta Flight | Beta Flight
Gamma Flight | Gamma Flight
Omega Flight | Omega Flight
Department H | Department Aitch
Department K | Department Kay
Excalibur | Excalibur
Exiles | Exiles
Fallen Angels | Fallen Angels
New Hellions | New Hellions
Hellions | Hellions
Purifiers | Purifiers
Friends of Humanity | Friends of Humanity
Human Council | Human Council
Reavers | Reavers
Genoshan Magistrates | Jen oshan Magistrates
Genosha | Jen osha
Krakoa | Kruh koa
Krakoan Age | Kruh koe un Age
Arakko | Uh racko
Arrako | Uh racko
Planet Arakko | Planet Uh racko
Arakkii | Uh rackee
Okkara | Oh kara
Okkarans | Oh karuns
Otherworld | Otherworld
Asteroid M | Asteroid Em
Island M | Island Em
Savage Land | Savage Land
Muir Island | Myoor Island
Xavier Institute | Zavier Institute
Xavier's School | Zavier's School
Xavier's | Zavier's
Jean Grey School | Jeen Gray School
School for Gifted Youngsters | School for Gifted Youngsters
Graymalkin | Graymalkin
Alkali Lake | Alkali Lake
Madripoor | Madri poor
Latveria | Luh teeria
Shi'ar Empire | Shee ar Empire
Shi'ar | Shee ar
Phalanx | Fay lanks
Technarchy | Tek narchy
Celestials | Celestials
Eternals | Eternals
Deviants | Deviants
Inhumans | Inhumans
Attilan | Attilan
Cerebro | Seh ree bro
Cerebra | Seh ree bruh
Danger Room | Danger Room
Blackbird | Blackbird
Master Mold | Master Mold
Mother Mold | Mother Mold
Prime Sentinels | Prime Sentinels
Wild Sentinels | Wild Sentinels
Omega Sentinel | Omega Sentinel
Sentinels | Sentinels
Sentinel | Sentinel
Nimrod | Nimrod
Bastion | Bastion
ORCHIS | Orkiss
Feilong | Fay long
Moira Engine | Moyra Engine
Days of Future Past | Days of Future Past
Age of Apocalypse | Age of Apocalypse
House of M | House of Em
Decimation | Decimation
M-Day | Em Day
Messiah Complex | Messiah Complex
Second Coming | Second Coming
Avengers vs. X-Men | Avengers versus Ex Men
Mutant Massacre | Mutant Massacre
Fall of the Mutants | Fall of the Mutants
From the Ashes | From the Ashes
Fall of X | Fall of Ex
Sins of Sinister | Sins of Sinister
Trial of Magneto | Trial of Magneeto
Judgment Day | Judgment Day
Blood Hunt | Blood Hunt
Resurrection Protocols | Resurrection Protocols
The Crucible | The Crucible
Tournament of Swords | Tournament of Swords
Marauders | Marauders
Morlocks | Morlocks
Acolytes | Acolytes
